"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZC3H11A|ZC3H11A",33997.2379786755,0.0745962012890132,0.011924985156128,6.25545443557051,3.96360054238098e-10,4.32772841829537e-09
"UBE2V1|UBE2V1",8117.57779254988,-0.137636175250367,0.0268108823245711,-5.13359364992733,2.84261483753474e-07,2.23082753540559e-06
"ZC3H13|ZC3H13",6233.86811800851,0.190517806422763,0.0301493455943519,6.31913571147143,2.63030212632565e-10,2.92853260550921e-09
"USP31|USP31",6126.77286897801,-0.102359960119024,0.0306832814732204,-3.33601737507642,0.000849878519324254,0.00369515953849189
"ELMOD2|ELMOD2",13598.7600529755,-0.0789143636734833,0.0194150444149445,-4.06459866827499,4.81151815002936e-05,0.000269958616601358
"H2AFY|H2AFY",31501.8262082596,-0.0587328646865838,0.0123268934499716,-4.764612018831,1.89217376293631e-06,1.34555681170317e-05
"TMEM263|TMEM263",13100.6363199044,0.0888964553437511,0.0205663389579037,4.32242488688478,1.54323630129787e-05,9.45676795386372e-05
"DENND4B|DENND4B",840.849612553715,-0.270417970262731,0.091118339338864,-2.96776666722449,0.00299971950876765,0.0113692555221906
"PPP1R9A|PPP1R9A",6433.96920962642,0.221075562725452,0.0298466860261421,7.40703884283221,1.29150644187547e-13,1.95034731161172e-12
"NDUFS5|NDUFS5",21772.7174243127,-0.0901908389345465,0.0152805703676038,-5.90232149486772,3.58421836980281e-09,3.52396979295611e-08
"UNC93B1|UNC93B1",1460.30559396729,-0.204912679883959,0.0691464657328645,-2.96345847487858,0.00304203102924003,0.0115103188581261
"ZNF318|ZNF318",9989.18863346586,0.0886394434936739,0.023580566943419,3.75900391650303,0.000170591167711724,0.000861917595133639
"CD59|CD59",9262.01906880587,0.0608824240132381,0.0240098343033707,2.53572862036332,0.0112213655874867,0.0354220062225111
"PDGFA|PDGFA",1486.59659070698,0.166705611242536,0.0664665585397911,2.50811257427651,0.0121377990586313,0.0379089574007598
"RWDD2B|RWDD2B",4820.2491578086,0.0935049723729687,0.0359468344754629,2.60120185093891,0.00928977760517241,0.030080867742059
"ZNF426|ZNF426",7073.34008631569,0.175085040764141,0.028793148623169,6.08078828250328,1.19593120912739e-09,1.23707270228654e-08
"LRRC59|LRRC59",11247.6443134508,-0.0563125666877918,0.021487560450892,-2.62070544566888,0.00877480410777663,0.0286873477592958
"SPICE1|SPICE1",5075.76044561559,0.104998622175401,0.034439561482567,3.04877930076288,0.00229773214331397,0.00898228469169236
"STAG3L5P-PVRIG2P-PILRB|STAG3L5P-PVRIG2P-PILRB",2350.25883425271,0.227490672856265,0.0521695509368122,4.3606024734965,1.29704820958902e-05,8.04264781446581e-05
"CHKB-CPT1B|CHKB-CPT1B",425.21140504612,-1.8280333995783,0.449969530109852,-4.06257152374744,4.85350695432295e-05,0.000271864551043261
"NUP50|NUP50",10700.7737808297,-0.118055735257167,0.0221754082927128,-5.32372318465778,1.01664579914398e-07,8.46331103879159e-07
"OGT|OGT",33537.679081725,-0.0669778265493906,0.0123673334078414,-5.41570477164658,6.10477598781056e-08,5.23689627596889e-07
"LZIC|LZIC",5661.22227506085,0.080769243453598,0.0316870697273103,2.54896537132258,0.0108043027862434,0.0342650023583364
"HIST1H2BO|HIST1H2BO",2083.68861875697,-0.138106302942087,0.055802476461764,-2.47491351099298,0.0133268444793623,0.0409808022640888
"TREX1|TREX1",1494.53138389295,-0.274562466832954,0.0662933118680461,-4.1416314722586,3.44844111637947e-05,0.000198321925272358
"GLO1|GLO1",19368.2108030044,-0.0768507146508636,0.0160979869379307,-4.77393322203443,1.80662307993754e-06,1.28877514923898e-05
"ABHD2|ABHD2",97257.7344992608,-0.336910884470616,0.00800907703300748,-42.0661311012641,0,0
"NDUFA9|NDUFA9",7680.24059389814,0.102714383585496,0.0266065418177132,3.86049356918357,0.000113158219067555,0.000591800466168576
"AP1B1|AP1B1",15357.4402774594,-0.170693027190899,0.0181053128685491,-9.42778666296408,4.18833384090258e-21,1.01788521893333e-19
"LOC103021295|LOC103021295",362.083493937801,-0.584195680634337,0.143421649451799,-4.07327403406188,4.63568265504196e-05,0.000260308457494923
"COX4I1|COX4I1",31649.2452267094,-0.0485901845348307,0.0124161274575659,-3.9134733998902,9.09779265818311e-05,0.000483255645270745
"CASC5|CASC5",6287.93505445291,0.110368568284254,0.030546336946805,3.61315232253399,0.000302496877856177,0.00145363577626067
"SOS1|SOS1",4250.75197250024,0.105227139386972,0.0372948754681516,2.82149056850537,0.00478010430639991,0.0170273166532937
"NDUFA6|NDUFA6",9683.80747925994,0.175647557722871,0.0243356744199605,7.21769837530381,5.28748312716364e-13,7.57165350448427e-12
"SKP1|SKP1",15548.3032090866,-0.120078416674464,0.0179729132377653,-6.68107696765326,2.37192603188201e-11,2.94288096233778e-10
"MLH3|MLH3",11116.7695075562,0.076612894424371,0.0216972345991744,3.53099811287869,0.00041399470157819,0.00193192778668336
"CAMLG|CAMLG",9322.64692126387,0.0641034203317633,0.0238294824592636,2.69008865137327,0.00714330399925034,0.0240134718725419
"RNF19A|RNF19A",9631.37646504617,0.109155717522202,0.0239585753731745,4.55601870403443,5.2132296280448e-06,3.4757427230047e-05
"ATP1B3|ATP1B3",5895.26327542268,-0.28251649624356,0.0311908326871789,-9.05767726937567,1.33257856576226e-19,3.02698457794004e-18
"NOL11|NOL11",11403.4107673557,0.167696793134741,0.0225514879585907,7.43617420911064,1.03643137110139e-13,1.58099503076558e-12
"SNRPA1|SNRPA1",3641.0337464042,0.12827861806546,0.0410229856576945,3.12699370874287,0.001766037064711,0.007102380971099
"LYSMD3|LYSMD3",5828.10072142247,0.138684887679879,0.0313265107523278,4.42707739704376,9.55184661675353e-06,6.07278912188441e-05
"DYNC1LI2|DYNC1LI2",39872.3024252754,0.1735508150826,0.0112689422747295,15.4008078887568,1.61637213623146e-53,1.02428142707639e-51
"KIF1A|KIF1A",7932.6909533901,-0.0779098288277425,0.0261154045803331,-2.98329013391638,0.00285167528925083,0.0108773735334498
"PDLIM5|PDLIM5",12521.725132879,-0.0717743194745626,0.0206149855821247,-3.48165751504567,0.000498320600669063,0.00227609486886937
"HACD3|HACD3",46640.0931154093,0.0829602643573588,0.0102809667752725,8.06930575409431,7.06990148201679e-16,1.25163099213616e-14
"TRAP1|TRAP1",17184.4236344279,-0.0995176787062586,0.0169443291045566,-5.87321445966821,4.27424942818609e-09,4.15208427619137e-08
"ARF5|ARF5",2954.64516087084,-0.220512974826589,0.046609200836386,-4.73110396380027,2.23302115782936e-06,1.57064314944627e-05
"ASUN|ASUN",6290.38228682838,0.103675520608025,0.0297592766076796,3.48380513326292,0.00049433926742489,0.00226020993754097
"UBA3|UBA3",12819.249974308,0.141084883401653,0.0201859398210014,6.98926503560007,2.76329975556358e-12,3.7286674612137e-11
"FAU|FAU",17025.5802567371,-0.0785917868318439,0.0176546775749657,-4.45161269573606,8.52277841978709e-06,5.45948975676584e-05
"FAM13A|FAM13A",32867.1141399052,-0.169905553137278,0.0124328427973368,-13.6658651530343,1.62362532556118e-42,7.94873033932676e-41
"CDK10|CDK10",1812.26301065025,-0.167054888582766,0.0599874510594757,-2.78483058760299,0.00535556964388763,0.0187472586321012
"FAM120A|FAM120A",31646.0220782101,0.0503699197440736,0.0122823763444744,4.10099139868273,4.11383852926114e-05,0.000233323982832749
"SP1|SP1",17034.4423258456,0.102187815103118,0.0171479073772783,5.95920031843196,2.53475233451675e-09,2.52562648114487e-08
"MOV10|MOV10",4831.75352669971,-0.104980061046746,0.0348537402355498,-3.01201708445827,0.00259517991261634,0.0100294200042719
"DSEL|DSEL",61223.2860735526,0.0847486609044304,0.00918194260052616,9.22992710709975,2.70816134850763e-20,6.34289741746321e-19
"FZD1|FZD1",2144.55705411835,-0.208186742485551,0.0547277407907724,-3.80404415525687,0.000142352788655552,0.000730676066221779
"SEC61A1|SEC61A1",31921.4184169289,-0.164229913137708,0.012338596818932,-13.3102584959838,2.01782398858463e-40,9.3391505492137e-39
"SNX7|SNX7",1482.17318197818,0.170016036224019,0.0666773639498241,2.54983139933304,0.0107775025686043,0.0342186997497271
"ZBTB16|ZBTB16",6061.07393188877,-1.63175340935536,0.032566192765584,-50.1057468123753,0,0
"PPP6R2|PPP6R2",5007.50651736572,-0.125064944194883,0.0342952915278257,-3.64670888111304,0.000265620566761404,0.00129292193318428
"ZNF544|ZNF544",13829.7463417464,0.0948605428902843,0.0191642227314499,4.94987687314921,7.42604466561624e-07,5.54235507487186e-06
