transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NM_003770_2,0,0,0,0
NM_057095,0,0,0,0
NM_014910,4604,3763,5175,5667
NM_014911,36331,34860,24671,24677
NM_014912,1645,1898,135,111
NM_014913,8550,8233,7182,7818
NM_014914,1264,1445,1663,1532
NM_014915,2388,1927,1577,3702
NM_014916,13516,12935,11792,12467
NM_014917,1312,1281,935,1048
NM_014918,17182,16456,13380,13863
NM_001005332,3439,2823,2522,4224
NM_001005333,0,2,4,7
NM_001005336,27,33,41,27
NM_001005337,0,0,0,0
NM_001005335,17462,21496,21549,22837
NM_176801,10158,7135,5976,7543
NM_001005338,0,0,0,0
NM_001005339,3488,3296,3158,3456
NM_176805,10,12,3,5
NM_001301289,12228,12152,1916,11194
NM_176806,11044,10847,10106,10579
NM_001167911,0,0,0,0
NR_033440,124,12,5,3
NM_001002814,10102,10916,8965,10353
NM_001032409,11,12,0,1
NM_001002812,24,30,0,18
NM_001002810,12,4,10,12
NM_001002811,5970,5769,5947,6458
NM_001206977,0,0,0,0
NM_001171625,1433,1146,897,3098
NM_001171626,2905,2906,3314,4215
NM_001206974,318,326,343,315
NM_001474_2,460,571,420,317
NM_001206972,0,0,45,0
NM_001206971,0,0,0,0
NM_001171623,1,0,1,1
NM_001167915,10,10,5,12
NM_001171628,1225,2012,767,730
NM_001171629,602,198,0,349
NM_001206979,0,0,0,0
NM_001206978,0,0,0,0
NM_021967_5,210,211,164,388
NM_001288649,43,18,3,20
NM_001288648,149,193,281,322
NM_001167917,0,0,0,0
NM_024318_3,0,0,0,0
NM_001288643,180,249,292,417
NM_001288642,847,901,372,345
NM_001288640,36,29,0,0
NM_001288647,46,35,154,95
NM_001294328,0,0,0,0
NM_001288645,1585,1248,1621,1530
NM_001288644,12,15,3,27
NM_001149,919,746,630,655
NM_001148,115,41,34,93
NM_004319,15,15,8,23
NM_004318,16376,17845,15135,15298
NM_001286555,1511,1474,1091,1386
NM_001286554,2187,2267,1949,2177
NM_001286556,0,0,0,15
NM_001141,32,35,20,27
NM_001140,13107,12933,10697,11300
NM_004311,8201,8053,8031,8194
NM_004310,0,0,0,0
NM_001145,270,240,208,237
NM_001144,28421,27211,25247,25795
NM_001147,495,394,324,411
NM_004314,9,18,5,4
NM_001201473,2,2,0,0
NM_001201472,2,3,0,212
NM_001201477,2999,4160,3079,3109
NM_001201476,11,10,25,16
NM_001201475,488,666,482,740
NM_001201474,559,445,594,554
NM_001001549,8359,0,9390,9962
NM_001001548,37,44,34,20
NM_001201479,0,0,0,0
NM_001201478,150,166,158,100
NR_026781_2,98,91,99,104
NR_030590,0,0,0,0
NM_001163125_2,2,2,1,2
NR_033863,0,0,0,0
NM_001097594_2,116,725,193,238
NM_025029,3167,3137,2904,3078
NR_037609_2,247,241,161,173
NM_001146327,2861,2698,3021,2925
NM_001146326,2009,2269,2643,2516
NR_102405,2496,2746,1961,2147
NR_102404,1437,1697,848,1301
NM_001146322,2,9,3,3
NR_102401,2,4,3,0
NR_102400,0,10,0,0
NM_001206932_6,0,0,0,0
NM_024993,0,15,16,9
NM_024991,0,0,0,1632
NR_126400_2,0,0,0,0
NM_024996,9770,9448,7891,9137
NR_073201,20086,22239,16335,10463
NM_001161580,212,241,285,285
NM_001289114,0,0,0,0
NM_001289115,39,12,64,0
NM_001284348,172,630,285,823
NM_001284349,738,692,501,537
NM_001289110,0,0,0,0
NM_001289111,2362,1841,1698,2061
NM_001289112,9,2,14,9
NM_001289113,72,145,32,107
NM_001284342,4560,4877,2367,2879
NM_001284343,12,3,3,24
NM_001284340,0,0,0,0
NR_024065,4,0,0,0
NR_024062,0,0,0,0
NM_001284347,861,491,532,255
NR_024061,1038,980,1015,1048
NM_001166161,3542,1149,4339,1662
NM_001287602,0,0,0,0
NM_001287603,4,16,904,456
NM_001287600,0,0,0,0
NM_001287601,469,377,472,360
NM_198881,102,235,308,386
NM_198880,6435,6484,6404,6380
NM_001287604,995,1310,735,1144
NM_198882,7,5,2,628
NR_073568,0,0,26,0
NM_198889,22942,21671,20709,23271
NM_001161546,291,267,243,257
NM_024033,2131,2045,1780,2084
NM_001206932_5,0,0,0,0
NM_145274,1370,1348,1130,1187
NM_145276,1686,1818,1553,1711
NM_145277,0,0,0,0
NM_145270,4,0,4,0
NM_145271,831,820,748,808
NM_145272,0,5,2,10
NM_145273,0,0,0,0
NR_109867,0,5,0,0
NM_145278,0,0,0,0
NM_145279,34,28,15,27
NM_001164281,385,597,229,265
NM_001184789,0,0,0,38
NM_001184788,0,4,0,3
NM_001184783,166,191,121,151
NM_001184782,12,8,2,13
NM_001184781,6385,6227,4711,6016
NM_001184780,0,0,0,0
NM_001184787,501,44,36,4
