gene_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
YIPF5|YIPF5,22.363830999999998,22.374828,21.343728,22.333943
GOLGA8M|GOLGA8M,0.07188800000000001,0.082483,0.041041999999999995,0.07023599999999999
ZNF614|ZNF614,11.678745,12.212352,11.660014,11.807067
KLHL41|KLHL41,0.454764,0.394631,0.354032,0.344599
BEST3|BEST3,0.111748,0.103625,0.048551,0.118918
PTEN|PTEN,22.320932999999997,22.886760000000002,22.10133,22.547465
LINC00906|LINC00906,0.0,0.0,0.0,0.0
RPLP0|RPLP0,1831.592804,1828.891357,1615.910324,1622.105774
LEAP2|LEAP2,0.704111,0.600693,0.616926,0.775405
SIRPG-AS1|SIRPG-AS1,0.0,0.0,0.0,0.0
SNORD27|SNORD27,17.186272,21.511988,15.055254,17.230148
ARMT1|ARMT1,22.800955000000002,24.62925,20.062877,20.206309
OR10H5|OR10H5,0.0,0.0,0.0,0.0
AMIGO1|AMIGO1,2.52342,2.700239,2.681492,2.74418
ACTG2|ACTG2,0.0,0.0,0.0,0.0
LINC00690|LINC00690,0.0,0.0,0.0,0.0
ARSJ|ARSJ,0.102035,0.09975,0.101139,0.103737
DSE|DSE,2.068222,2.064666,2.149808,2.380979
DNAJC1|DNAJC1,26.921904,27.33429,26.465286,27.383926
LOC102724699|LOC102724699,0.025117,0.030899,0.0,0.022263
MIR191|MIR191,0.078513,0.203203,0.141269,0.107122
SAMD10|SAMD10,0.533515,0.582588,0.447096,0.403305
AMY2B|AMY2B,0.15347,0.136354,0.155492,0.105992
TSR2|TSR2,23.353199,23.027262,24.413456,26.698221
TGFBI|TGFBI,0.054542,0.039199,0.04829,0.03814
DICER1|DICER1,24.798602999999996,25.574784,21.552116,22.285668
ST3GAL6-AS1|ST3GAL6-AS1,0.0,0.0,0.0,0.0
ZGLP1|ZGLP1,0.137969,0.227224,0.176867,0.198316
PCMTD1|PCMTD1,36.969362000000004,37.045518,35.879698,36.515911
IPP|IPP,17.960324,18.668343,17.378194,17.366448000000002
SLC9A3R2|SLC9A3R2,5.353304,5.647995,4.501995,4.287148
FRMD6|FRMD6,1.271218,1.2690939999999997,1.203273,1.2630649999999999
PPP2R1A|PPP2R1A,69.843273,72.183432,61.82471700000001,62.448475
MIR6891|MIR6891,0.1095,0.046075,0.0,0.0
TTC25|TTC25,0.981533,0.856554,0.735797,0.837078
SMYD4|SMYD4,5.143947,5.232813,5.090514,5.269145
GPR108|GPR108,8.058273,8.337504,7.370459,7.43294
LOC101927919|LOC101927919,0.080955,0.070345,0.064433,0.072165
SGCZ|SGCZ,0.046267,0.022644,0.0,0.044377
MIR6860|MIR6860,0.0,0.0,0.0,0.0
CYP3A43|CYP3A43,0.246046,0.22429300000000002,0.088148,0.131941
COPS2|COPS2,31.495227999999997,32.787737,30.397049000000003,31.121463
OTX2|OTX2,0.0,0.0,0.0,0.0
TMEM161B-AS1|TMEM161B-AS1,8.852123,9.142449000000001,8.285179,8.439929
CCDC181|CCDC181,0.216026,0.208615,0.195581,0.211656
BCL2L1|BCL2L1,37.35952,38.522751,32.624661,33.559138
KATNA1|KATNA1,8.879252000000001,9.098478,8.602597999999999,9.093262
